职位,经验,学历要求,薪酬,所在城市,所在区,工作类型1,工作类型2,公司简称,公司全称,公司规模,行业,福利优势,发布时间,职位TAG,公司TAG
Python开发工程师,3-5年,本科,15k-30k,深圳,南山区,开发/测试/运维类,后端开发,商汤科技,北京市商汤科技开发有限公司,500-2000人,移动互联网,"人工智能,福利好,技术大牛多,弹性工作",2018-04-02 14:04:45, 高级 大数据 Java, 五险一金 弹性工作 丰盛三餐 发展空间大
服务端高级开发工程师Golang/Python,3-5年,本科,35k-45k,北京,朝阳区,开发/测试/运维类,后端开发,美团点评,北京三快在线科技有限公司,2000人以上,"移动互联网,O2O","优厚待遇,技术导向",2018-04-01 23:18:23, 资深 大数据 C++ Java, 技能培训 绩效奖金 岗位晋升 领导好
高级Python开发工程师,3-5年,本科,25k-50k,北京,海淀区,开发/测试/运维类,后端开发,Face++,北京旷视科技有限公司,500-2000人,"移动互联网,硬件",大牛多,2018-04-03 10:45:34, 资深, 科技大牛公司 自助三餐 年终多薪 超长带薪假期
Python开发工程师,1-3年,硕士,18k-28k,北京,海淀区,开发/测试/运维类,后端开发,爱奇艺,北京爱奇艺科技有限公司,2000人以上,"广告营销,文化娱乐",14薪，12天带薪年假，地铁周边,2018-03-08 09:29:27, 云计算 直播 资深 高级 django, 绩效奖金 五险一金 交通补助 带薪年假
python开发工程师,3-5年,大专,12k-19k,上海,浦东新区,开发/测试/运维类,后端开发,紫川软件,深圳市紫川软件有限公司,500-2000人,"电子商务,金融",员工旅游 员工体检 五险一金,2018-04-03 16:49:12,, 节日礼物 年底双薪 绩效奖金 岗位晋升
Python,1-3年,本科,8k-16k,北京,东城区,开发/测试/运维类,后端开发,妙计旅行,北京汇行科技有限公司,150-500人,旅游,"免费三餐,晋升空间,福利待遇好",2018-04-03 16:47:21, 爬虫 大数据 Java 算法, 股票期权 十四薪 零食饮料水果 团队氛围好
Python开发工程师,1-3年,本科,10k-20k,深圳,福田区,开发/测试/运维类,后端开发,有鱼智能科技,深圳市有鱼智能科技有限公司,150-500人,"移动互联网,金融","上市公司,弹性工作制,大牛多,发展空间大",2018-04-03 15:45:31, 金融 医疗健康 文化娱乐 linux Java, 节日礼物 股票期权 带薪年假 绩效奖金
Python开发工程师,5-10年,大专,20k-40k,北京,朝阳区,开发/测试/运维类,后端开发,智影,北京源石智影科技有限公司,50-150人,"移动互联网,数据服务","五险一金,福利多多,前景好",2018-04-03 15:38:44, 大数据 Java 分布式, 专项奖金 股票期权 绩效奖金 年终分红
Python工程师,1-3年,本科,20k-35k,北京,朝阳区,开发/测试/运维类,后端开发,老虎证券,北京优虎商务服务有限公司,150-500人,"移动互联网,金融","六险一金,超多假期",2018-04-03 09:59:52, php Java, 绩效奖金 年底双薪 带薪年假 定期体检
Python开发工程师,3-5年,本科,12k-24k,苏州,工业园区,开发/测试/运维类,后端开发,苏州锦佰安,苏州锦佰安信息技术有限公司,15-50人,信息安全,"人工智能,前景广阔,福利齐全,技术领先",2018-04-03 16:26:17, linux twisted, 股票期权 弹性工作 带薪年假 绩效奖金
python研发工程师,1年以下,硕士,15k-30k,北京,朝阳区,开发/测试/运维类,后端开发,数美,北京数美时代科技有限公司,150-500人,"企业服务,数据服务","飞速发展,技术氛围浓,大牛担任导",2018-04-01 18:36:11, 大数据 数据挖掘, 年底双薪 大数据 带薪年假 通讯津贴
量化平台研发工程师-python,3-5年,本科,12k-24k,广州,番禺区,开发/测试/运维类,后端开发,经传多赢,广州经传多赢投资咨询有限公司,2000人以上,"移动互联网,金融","技术大牛多,扁平管理,快速兑现",2018-04-02 18:19:20, 资深 架构师 php Java, 绩效奖金 年度旅游 扁平管理 技能培训
Python开发工程师,3-5年,本科,8k-10k,郑州,高新区,开发/测试/运维类,后端开发,青松,青松智慧（北京）科技有限公司,15-50人,"移动互联网,企业服务","五险一金,年度旅游,年度体检,餐补",2018-04-03 09:52:50, 信息安全 高级 大数据 Java 架构, 股票期权 带薪年假 年度旅游 扁平管理
Python开发工程师,3-5年,本科,15k-25k,上海,浦东新区,技术,后端开发,纳米盒,上海进馨网络科技有限公司,50-150人,"移动互联网,教育",发展前景大、工作氛围好、技术牛人多,2018-04-03 09:23:20, 云计算 linux php Java Ruby, 股票期权 岗位晋升 扁平管理 五险一金
Python开发工程师,1-3年,大专,10k-16k,广州,海珠区,开发/测试/运维类,后端开发,AI考拉,广州财略金融信息科技有限公司,50-150人,金融,股票期权 发展空间大 福利待遇好 周末双休,2018-04-02 09:24:28, 中级 数据分析 大数据 MySQL hadoop, 股票期权 专项奖金 带薪年假 绩效奖金
Python工程师,1-3年,本科,20k-40k,北京,海淀区,开发/测试/运维类,后端开发,Face++,北京旷视科技有限公司,500-2000人,"移动互联网,硬件","技术驱动,极客氛围,大牛团队",2018-03-22 15:07:39, 中级 后端 django, 科技大牛公司 自助三餐 年终多薪 超长带薪假期
python工程师,1-3年,本科,8k-14k,深圳,福田区,开发/测试/运维类,后端开发,紫川软件,深圳市紫川软件有限公司,500-2000人,"电子商务,金融",周末双休 免费体检 员工旅游 五险一金,2018-04-03 16:49:16,, 节日礼物 年底双薪 绩效奖金 岗位晋升
Python高级开发工程师,3-5年,本科,20k-30k,上海,长宁区,开发/测试/运维类,后端开发,爱奇艺,北京爱奇艺科技有限公司,2000人以上,"广告营销,文化娱乐",创新的就业平台,2018-03-26 18:53:01, php Java, 绩效奖金 五险一金 交通补助 带薪年假
Python工程师,1-3年,硕士,10k-20k,北京,海淀区,开发/测试/运维类,后端开发,云游九州,北京云游九州空间科技有限公司,15-50人,数据服务、企业服务,"年度旅游,互联网平台,硬科技,弹性上班时",2018-04-03 12:34:15, 地图 算法 matlab 地理信息系统, 股票期权 专项奖金 带薪年假 定期体检
Python工程师,3-5年,本科,15k-30k,杭州,滨江区,开发/测试/运维类,后端开发,TELETRAAN,浙江天垂科技有限公司,15-50人,"数据服务,企业服务","弹性工作,硅谷团队,股权激励,全正版软件",2018-04-03 10:58:49, 高级 后端开发 web, 全新MAC 24+显示器 硅谷工作机会 股票期权
Python开发,3-5年,本科,20k-35k,深圳,南山区,技术,后端开发,航仕科技,上海航仕企业管理有限公司,150-500人,"移动互联网,O2O",BAT的薪资福利待遇，更有技术大牛传授技术,2018-04-02 08:49:02,, 年底双薪 午餐补助 专项奖金 绩效奖金
Python开发工程师,1-3年,大专,8k-15k,广州,番禺区,开发/测试/运维类,后端开发,稻禾科技,广州稻禾信息科技有限公司,15-50人,"企业服务,移动互联网","地铁口出口,行业前景佳,五险一金",2018-04-03 15:34:09, 中级 初级 后端开发 Java, 弹性工作 领导好 技能培训 五险一金
python开发工程师,3-5年,大专,12k-18k,深圳,福田区,开发/测试/运维类,后端开发,掌贝（云移科技）,广州云移信息科技有限公司,500-2000人,"移动互联网,O2O",五险一金 定期培训 年度体检 生日福利,2018-04-03 11:55:43, linux Java, 股票期权 岗位晋升 扁平管理 领导好
python工程师,1-3年,本科,15k-30k,深圳,南山区,开发/测试/运维类,后端开发,Minieye,深圳佑驾创新科技有限公司,50-150人,"硬件,其他","无人驾驶,车厂合作,扁平化管理,股票期权",2018-04-03 10:21:46,, 无人驾驶 国际标准 车厂合作 海归团队
Python,1-3年,本科,6k-12k,苏州,工业园区,开发/测试/运维类,后端开发,问卷网@爱调研,上海众言网络科技有限公司,150-500人,移动互联网,"带薪年假,定期体检,五险一金,福利多多",2018-04-03 09:53:25, 后端开发 web 爬虫 全栈, 技能培训 节日礼物 年底双薪 绩效奖金
Python开发工程师,5-10年,本科,20k-40k,北京,海淀区,开发/测试/运维类,后端开发,朗播网,北京博智天下信息技术有限公司,150-500人,教育,"出国旅游,免费健身,股票期权,带薪年假",2018-04-03 09:57:02, php Java web, 扁平管理 定期体检 股票期权 团建活动
Python开发工程师,3-5年,本科,15k-25k,北京,朝阳区,开发/测试/运维类,后端开发,Bespin,北京贝斯平云科技有限公司,50-150人,不限,"五险一金,补充医疗,弹性工作,福利多多",2018-04-03 09:35:02, linux 运维 OpenStack, 扁平管理 技能培训 云计算 国际化
Python开发工程师,1-3年,大专,8k-16k,杭州,余杭区,开发/测试/运维类,后端开发,牛盾网络,杭州牛盾网络技术有限公司,15-50人,"信息安全,移动互联网","六险一金,周末双休,员工旅游",2018-04-03 09:27:03, 大数据 Java 架构, 绩效奖金 带薪年假 弹性工作 扁平管理
Python 开发工程师,5-10年,本科,18k-35k,北京,大兴区,开发/测试/运维类,软件开发,金风科技,北京金风科创风电设备有限公司,2000人以上,"硬件,其他","带薪年假,节日福利,五险一金,午餐补助",2018-04-02 16:17:03, 资深 大数据 Java, 带薪年假 节日礼物 帅哥多 美女多
python开发,3-5年,大专,10k-20k,杭州,西湖区,开发/测试/运维类,软件开发,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,移动互联网,"项目大,平台优,技术新,发展好",2018-04-03 16:55:53, 云计算 软件开发 大数据 MySQL 架构, 带薪年假 计算机软件 管理规范 定期体检
python工程师,3-5年,本科,15k-30k,北京,海淀区,开发/测试/运维类,后端开发,Face++,北京旷视科技有限公司,500-2000人,"移动互联网,硬件",平台好；福利多,2018-03-22 15:07:44, 后端开发 后端 爬虫 测试平台, 科技大牛公司 自助三餐 年终多薪 超长带薪假期
Python程序员,3-5年,本科,10k-20k,厦门,思明区,技术,后端开发,点触科技,厦门点触科技股份有限公司,150-500人,"移动互联网,游戏",五险一金，双休，班车接送，免费早餐,2018-04-03 13:52:28, 游戏 php C++ Java 后端, 技能培训 节日礼物 带薪年假 绩效奖金
Python工程师,3-5年,本科,15k-23k,北京,海淀区,开发/测试/运维类,后端开发,开拓天际,北京开拓天际科技有限公司,50-150人,"数据服务,信息安全","领导好,福利好,团队优秀",2018-04-03 09:36:56, django, 年底双薪 股票期权 年终分红 节日礼物
